,ANO,cod_produto,PRODUÇÃO_NOVO,UND_NOVO,Technology,categoria,food_color
248,2021,1081.2040,704575.0,Ton,Coffee roasting,Café,brown
249,2022,1081.2040,711328.0,Ton,Coffee roasting,Café,brown
250,2023,1081.2040,664565.0,Ton,Coffee roasting,Café,brown
251,2017,1081.2050,10442.0,Ton,Coffee roasting,Café,brown
252,2018,1081.2050,16552.0,Ton,Coffee roasting,Café,brown
253,2019,1081.2050,13734.0,Ton,Coffee roasting,Café,brown
254,2020,1081.2050,12270.0,Ton,Coffee roasting,Café,brown
255,2021,1081.2050,8991.0,Ton,Coffee roasting,Café,brown
256,2022,1081.2050,12932.0,Ton,Coffee roasting,Café,brown
257,2023,1081.2050,9609.0,Ton,Coffee roasting,Café,brown
258,2017,1091.2010,75836.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
259,2018,1091.2010,93041.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
260,2019,1091.2010,83074.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
261,2020,1091.2010,79506.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
262,2021,1091.2010,85128.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
263,2022,1091.2010,107070.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
264,2023,1091.2010,102616.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
265,2017,1091.2022,140817.0,Ton,"Bread, typical",Pão,pink
266,2018,1091.2022,142596.0,Ton,"Bread, typical",Pão,pink
267,2019,1091.2022,188722.0,Ton,"Bread, typical",Pão,pink
268,2020,1091.2022,250780.0,Ton,"Bread, typical",Pão,pink
269,2021,1091.2022,306039.0,Ton,"Bread, typical",Pão,pink
270,2022,1091.2022,397315.0,Ton,"Bread, typical",Pão,pink
271,2023,1091.2022,406892.0,Ton,"Bread, typical",Pão,pink
272,2017,1091.2035,780468.0,Ton,"Bread, typical",Pão,pink
273,2018,1091.2035,753518.0,Ton,"Bread, typical",Pão,pink
274,2019,1091.2035,802724.0,Ton,"Bread, typical",Pão,pink
275,2020,1091.2035,860737.0,Ton,"Bread, typical",Pão,pink
276,2021,1091.2035,847356.0,Ton,"Bread, typical",Pão,pink
277,2022,1091.2035,1009428.0,Ton,"Bread, typical",Pão,pink
278,2023,1091.2035,1101095.0,Ton,"Bread, typical",Pão,pink
279,2017,1091.2045,603533.0,Ton,"Bread, typical",Pão,pink
280,2018,1091.2045,644090.0,Ton,"Bread, typical",Pão,pink
281,2019,1091.2045,718160.0,Ton,"Bread, typical",Pão,pink
282,2020,1091.2045,633967.0,Ton,"Bread, typical",Pão,pink
283,2021,1091.2045,739713.0,Ton,"Bread, typical",Pão,pink
284,2022,1091.2045,768046.0,Ton,"Bread, typical",Pão,pink
285,2023,1091.2045,758394.0,Ton,"Bread, typical",Pão,pink
286,2017,1091.2050,86719.0,Ton,Sponge-dough bread,Pão,pink
287,2018,1091.2050,84395.0,Ton,Sponge-dough bread,Pão,pink
288,2019,1091.2050,96428.0,Ton,Sponge-dough bread,Pão,pink
289,2020,1091.2050,96807.0,Ton,Sponge-dough bread,Pão,pink
290,2021,1091.2050,127033.0,Ton,Sponge-dough bread,Pão,pink
291,2022,1091.2050,126145.0,Ton,Sponge-dough bread,Pão,pink
292,2023,1091.2050,132487.0,Ton,Sponge-dough bread,Pão,pink
293,2017,1091.2070,45495.0,Ton,"Bread, typical",Pão,pink
294,2018,1091.2070,61938.0,Ton,"Bread, typical",Pão,pink
295,2019,1091.2070,48087.0,Ton,"Bread, typical",Pão,pink
296,2020,1091.2070,42937.0,Ton,"Bread, typical",Pão,pink
297,2021,1091.2070,52763.0,Ton,"Bread, typical",Pão,pink
298,2022,1091.2070,52408.0,Ton,"Bread, typical",Pão,pink
299,2023,1091.2070,46190.0,Ton,"Bread, typical",Pão,pink
300,2017,1092.2010,1898547.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
301,2018,1092.2010,2125678.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
302,2019,1092.2010,1885542.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
303,2020,1092.2010,1971872.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
304,2021,1092.2010,2091291.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
305,2022,1092.2010,2161056.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
306,2023,1092.2010,2026957.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
307,2017,1092.2020,18897.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
308,2018,1092.2020,22512.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
309,2019,1092.2020,21502.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
310,2020,1092.2020,21700.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
311,2021,1092.2020,36017.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
312,2022,1092.2020,34652.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
313,2023,1092.2020,41319.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
314,2017,1099.2110,763220.0,Ton,Animal rendering,Carne e Ração Animal,salmon
315,2018,1099.2110,834985.0,Ton,Animal rendering,Carne e Ração Animal,salmon
316,2019,1099.2110,807219.0,Ton,Animal rendering,Carne e Ração Animal,salmon
317,2020,1099.2110,446659.0,Ton,Animal rendering,Carne e Ração Animal,salmon
